frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:udp:ax4000,139,70,27075,15575
eth:ethertype:ip:udp:auto_rp,19,7,8711,3402
eth:ethertype:ip:udp:ath,783,410,118162,67978
eth:ethertype:ip:udp:asterix,5311,2977,396757,208555
eth:ethertype:ip:udp:asap,190,59,34239,12158
eth:ethertype:ip:udp:armagetronad,58,32,3572,1966
eth:ethertype:ip:udp:ardp,132,67,76019,35997
eth:ethertype:ip:udp:aodv,1,1,1066,1066
eth:ethertype:ip:udp:amt:ip:ipv6:data,3,2,294,196
eth:ethertype:ip:udp:amt:ip:data,2,1,709,155
eth:ethertype:ip:udp:amt:ip,27,10,4911,1666
eth:ethertype:ip:udp:amt,229,112,30809,14067
eth:ethertype:ip:udp:ajns,182,78,83972,36327
eth:ethertype:ip:udp:adwin,8,5,812,510
eth:ethertype:ip:udp:adp,434,243,106335,49617
eth:ethertype:ip:udp:actrace,33,17,1980,1020
eth:ethertype:ip:udp:acdr,23,16,9529,7944
eth:ethertype:ip:udp:a21,367,155,84902,35617
eth:ethertype:ip:udp:a11,1,1,554,554
eth:ethertype:ip:udp,8050574,4024274,548967728,274415529
eth:ethertype:ip:tcp:zebra,38,20,36388,19528
eth:ethertype:ip:tcp:z3950,18,10,16400,10036
eth:ethertype:ip:tcp:xot:x25:data:x25:data,2,0,1908,0
eth:ethertype:ip:tcp:xot:x25:data:x25,3,1,2862,954
eth:ethertype:ip:tcp:xot:x25:data,7,6,6678,5724
eth:ethertype:ip:tcp:xot:x25,1,0,954,0
eth:ethertype:ip:tcp:xmcp,13,6,12402,5724
eth:ethertype:ip:tcp:x11,1605,815,1405458,707301
eth:ethertype:ip:tcp:wow,45,21,39606,17674
eth:ethertype:ip:tcp:winsrepl,12,5,11448,4770
eth:ethertype:ip:tcp:vnc,139,76,127927,68543
eth:ethertype:ip:tcp:vicp,44,17,40906,15312
eth:ethertype:ip:tcp:uma,7,5,6678,4770
eth:ethertype:ip:tcp:twamp.control,35,13,33402,12354
eth:ethertype:ip:tcp:tpm,70,29,60852,23119
eth:ethertype:ip:tcp:tplink-smarthome:json:data-text-lines:json:data-text-lines,3,1,2862,954
eth:ethertype:ip:tcp:tplink-smarthome:json:data-text-lines,7,5,6678,4770
eth:ethertype:ip:tcp:tplink-smarthome,1,1,954,954
eth:ethertype:ip:tcp:tpkt,44,22,41196,20024
eth:ethertype:ip:tcp:tls,24186,12105,9430912,4722007
eth:ethertype:ip:tcp:time,42,18,29956,12040
eth:ethertype:ip:tcp:tibia:data:data,1,0,954,0
eth:ethertype:ip:tcp:tibia:data,3,2,2986,2032
eth:ethertype:ip:tcp:tibia,19,7,18126,6678
eth:ethertype:ip:tcp:thrift,16,13,14176,10942
eth:ethertype:ip:tcp:tfp,45,22,41010,21576
eth:ethertype:ip:tcp:telnet,47,24,31560,18630
eth:ethertype:ip:tcp:tds,84,38,7980,3610
eth:ethertype:ip:tcp:tcpcl:bundle,1,1,1078,1078
eth:ethertype:ip:tcp:tcpcl,9,6,8166,5444
eth:ethertype:ip:tcp:tacplus,8,3,7632,2862
eth:ethertype:ip:tcp:synergy,13,8,12402,7632
eth:ethertype:ip:tcp:stun,8,5,7632,4770
eth:ethertype:ip:tcp:ssh,1526,782,172454,89134
eth:ethertype:ip:tcp:srvloc,146095,74346,15924355,8103714
eth:ethertype:ip:tcp:spdy,11,6,10494,5724
eth:ethertype:ip:tcp:socks,47,25,44726,24050
eth:ethertype:ip:tcp:snmp,60,25,55810,24438
eth:ethertype:ip:tcp:smux,6,4,5956,3800
eth:ethertype:ip:tcp:smtp:data-text-lines,20,12,19264,11788
eth:ethertype:ip:tcp:smtp,48,18,34771,13320
eth:ethertype:ip:tcp:slsk,35,19,33390,18126
eth:ethertype:ip:tcp:sir:irlap:data,14,9,12020,8678
eth:ethertype:ip:tcp:sir,15,9,14402,8182
eth:ethertype:ip:tcp:sip,23,11,21210,10322
eth:ethertype:ip:tcp:scop:data,2,1,1644,566
eth:ethertype:ip:tcp:sametime,5,1,4770,954
