dst,packet_total,volume_total
200.236.60.209,273787,17693333
200.236.60.208,275243,17825161
200.236.60.207,274458,17771344
200.236.60.206,274203,17717062
200.236.60.205,272902,17679484
200.236.60.204,277012,17923320
200.236.60.203,276776,17886739
200.236.60.20,275378,17856915
200.236.60.202,276226,17887112
200.236.60.201,273576,17696583
200.236.60.200,276032,17842865
200.236.60.199,274475,17757151
200.236.60.198,274460,17764520
200.236.60.197,275671,17844159
200.236.60.196,276596,17893669
200.236.60.195,273501,17689771
200.236.60.194,274465,17740122
200.236.60.193,277768,17963418
200.236.60.19,278554,17985173
200.236.60.192,274838,17790907
200.236.60.191,275508,17842739
200.236.60.190,273988,17733669
200.236.60.189,275382,17785999
200.236.60.188,278732,18023679
200.236.60.187,277261,17955773
200.236.60.186,274104,17726643
200.236.60.185,276999,17958146
